"";"country";"reach";"employment";"temp_contract";"autonomy_selection";"autonomy_emphasis";"ethics_1";"ethics_2";"ethics_3";"ethics_4";"work_experience";"trust_parliament";"trust_government";"trust_parties";"trust_politicians"
"28";"Switzerland";"Regional";"Full-time";"Permanent";4;5;1;5;4;1;20;2;2;2;1
"29";"Austria";"Regional";"Full-time";"Permanent";4;4;1;3;5;1;30;3;3;3;2
"30";"Denmark";"National";"Freelancer";NA;4;4;1;1;1;1;35;3;3;3;3
"31";"Denmark";"National";"Full-time";"Permanent";4;5;2;2;1;4;25;3;3;3;3
"32";"Denmark";"National";"Full-time";"Temporary";4;3;4;5;2;4;2;3;3;2;3
"33";"Denmark";"Local";"Full-time";"Permanent";4;4;1;4;4;3;8;4;4;4;4
"34";"Denmark";"National";"Full-time";"Permanent";3;4;5;2;1;1;23;3;2;2;2
"35";"Denmark";"National";"Full-time";"Permanent";4;4;4;2;2;4;29;3;3;3;3
"36";"Denmark";"National";"Freelancer";NA;2;3;2;1;4;2;23;4;2;2;2
"37";"Denmark";"National";"Freelancer";NA;4;3;3;4;3;4;4;2;2;2;3
"38";"Denmark";"National";"Full-time";"Permanent";5;5;2;3;2;2;5;3;2;2;2
"39";"Germany";"National";"Full-time";"Permanent";3;4;2;2;2;2;15;3;2;2;2
"40";"Denmark";"National";"Part-time";"Permanent";5;5;1;1;3;1;18;1;3;3;3
"41";"UK";"National";"Full-time";"Permanent";3;3;2;4;2;2;6;3;3;2;3
"42";"Germany";"Regional";"Full-time";"Permanent";4;4;2;3;3;1;7;4;3;3;3
"43";"Switzerland";"Local";"Full-time";"Permanent";5;5;1;3;3;3;1;3;3;2;2
"44";"Germany";"Local";"Full-time";"Permanent";5;5;1;2;2;2;35;4;4;3;2
"45";"UK";"Regional";"Full-time";"Permanent";3;4;2;4;2;4;30;3;3;2;2
"46";"Switzerland";"National";"Full-time";"Permanent";4;4;1;1;1;2;18;3;4;2;2
"47";"Austria";"National";"Freelancer";NA;5;5;1;2;2;2;40;3;3;3;3
"48";"UK";"Transnational";"Full-time";"Permanent";4;4;2;4;4;4;5;2;2;3;3
"49";"Denmark";"Regional";"Freelancer";NA;4;4;3;3;3;3;53;4;1;3;3
"50";"Denmark";"Regional";"Full-time";"Permanent";4;5;1;4;4;4;35;5;4;3;3
"51";"Germany";"National";"Part-time";"Permanent";4;4;1;4;2;2;40;2;1;2;2
"52";"Denmark";"Regional";"Freelancer";NA;3;4;2;4;2;4;30;2;2;2;2
"53";"Denmark";"National";"Full-time";"Permanent";4;5;1;1;2;1;25;4;3;2;3
"54";"Switzerland";"National";"Part-time";"Permanent";4;5;2;4;1;1;16;3;3;2;2
"55";"Denmark";"Regional";"Full-time";"Permanent";5;5;1;2;1;1;24;5;3;2;3
"56";"Germany";"Regional";"Full-time";"Permanent";4;5;1;3;3;2;35;3;2;2;2
"57";"UK";"Regional";"Full-time";"Permanent";4;5;1;1;1;1;25;5;3;3;3
"58";"Denmark";"National";"Full-time";"Permanent";5;5;1;2;2;1;16;4;2;2;1
"59";"Switzerland";"National";"Full-time";"Permanent";3;4;1;1;2;2;8;3;3;3;3
"60";"Germany";"Local";"Full-time";"Permanent";4;4;1;5;2;3;30;4;4;3;3
"61";"Denmark";"Regional";"Full-time";"Permanent";4;4;2;4;4;1;23;3;3;2;3
"62";"UK";"Local";"Full-time";"Permanent";2;3;1;3;4;3;15;3;1;2;2
"63";"Denmark";"National";"Full-time";"Permanent";4;5;2;4;2;2;13;3;3;3;3
"64";"Switzerland";"Regional";"Full-time";"Permanent";3;3;1;2;1;1;3;3;3;4;3
"65";"UK";"Regional";"Full-time";"Permanent";4;4;1;5;4;1;12;3;3;3;3
"66";"UK";"National";"Full-time";"Permanent";4;4;1;4;2;3;5;3;3;3;3
"67";"Germany";"Local";"Full-time";"Permanent";4;5;1;3;2;1;10;4;4;4;3
"68";"Denmark";"Regional";"Full-time";"Permanent";4;4;2;5;4;3;15;3;2;2;2
"69";"UK";"National";"Full-time";"Permanent";3;3;1;4;1;1;38;3;2;3;3
"70";"Denmark";"Local";"Full-time";"Permanent";3;3;1;4;2;4;7;2;4;2;2
"71";"Germany";"Regional";"Freelancer";NA;3;2;1;4;3;2;14;4;4;3;3
"72";"Switzerland";"Regional";"Full-time";"Permanent";5;5;1;3;2;2;2;4;4;3;3
"73";"Austria";"Regional";"Full-time";"Permanent";5;4;1;1;3;1;9;3;3;3;3
"74";"UK";"National";"Full-time";"Permanent";4;4;1;1;1;1;23;2;2;2;2
"75";"Denmark";"National";"Freelancer";NA;4;4;1;2;4;2;31;3;3;3;2
"76";"UK";"Regional";"Full-time";"Permanent";4;5;2;5;4;4;8;4;4;3;3
"77";"Austria";"National";"Full-time";"Permanent";5;5;1;5;2;2;19;2;2;2;2
"78";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;4;1;3;25;3;3;2;3
"79";"UK";"Regional";"Full-time";"Permanent";4;4;1;3;3;2;12;3;3;3;3
"80";"Switzerland";"Regional";"Full-time";"Temporary";4;4;2;4;2;3;4;4;4;3;3
"81";"Germany";"Regional";"Full-time";"Permanent";5;5;1;4;3;1;20;4;3;3;3
"82";"Denmark";"National";"Full-time";"Permanent";4;4;1;1;1;3;38;2;2;2;2
"83";"Denmark";"National";"Full-time";"Permanent";4;4;2;2;2;5;3;3;2;2;2
"84";"Switzerland";"Regional";"Freelancer";NA;2;3;2;3;4;3;10;3;3;2;3
"85";"UK";"National";"Full-time";"Permanent";3;4;3;4;2;4;15;2;2;2;2
"86";"Denmark";"Regional";"Full-time";"Temporary";2;2;1;2;2;4;3;3;2;1;2
"87";"Denmark";"National";"Full-time";"Permanent";3;4;3;4;3;4;16;3;3;3;3
"88";"Denmark";"National";"Full-time";"Permanent";4;4;2;2;1;4;24;4;3;3;4
"89";"Austria";"National";"Full-time";"Permanent";4;4;3;4;4;3;8;4;3;2;2
"90";"Denmark";"National";"Freelancer";NA;3;4;2;5;3;2;3;3;2;2;2
"91";"UK";"National";"Full-time";"Permanent";3;3;2;5;5;1;15;2;2;2;2
"92";"UK";"Transnational";"Full-time";"Permanent";4;5;1;4;4;4;NA;5;4;3;3
"93";"Denmark";"Regional";"Full-time";"Temporary";3;3;2;3;2;2;10;2;2;2;2
"94";"Austria";"National";"Full-time";"Permanent";3;4;1;4;3;2;12;3;3;3;3
"95";"Switzerland";"National";"Full-time";"Temporary";4;4;1;4;3;3;4;2;3;2;2
"96";"Denmark";"Regional";"Full-time";"Permanent";4;4;4;4;4;3;27;3;3;3;3
"97";"Denmark";"Local";"Full-time";"Permanent";4;4;1;1;1;1;19;3;2;2;2
"98";"UK";"Transnational";"Full-time";"Permanent";4;4;2;5;4;4;10;2;2;1;1
"99";"Denmark";"National";"Freelancer";NA;4;5;2;2;1;4;21;2;2;2;2
"100";"Denmark";"National";"Full-time";"Permanent";3;4;1;2;1;2;15;3;3;3;3
"101";"UK";"National";"Full-time";"Permanent";4;5;1;4;2;2;26;3;3;2;3
"102";"Germany";"Regional";"Freelancer";NA;5;4;1;1;1;1;10;3;2;2;3
"103";"UK";"Transnational";"Full-time";"Permanent";3;4;1;4;2;2;NA;2;3;2;3
"104";"Germany";"Regional";"Full-time";"Permanent";5;5;1;1;1;1;13;2;2;2;2
"105";"Germany";"Local";"Full-time";"Permanent";4;3;1;4;1;2;10;2;2;2;2
"106";"Denmark";"Regional";"Full-time";"Permanent";5;5;2;4;4;4;4;2;1;1;1
"107";"Austria";"National";"Part-time";"Permanent";4;4;1;2;2;2;25;3;3;3;3
"108";"Denmark";"National";"Full-time";"Permanent";4;3;1;1;1;4;30;3;4;3;2
"109";"Switzerland";"National";"Full-time";"Permanent";1;1;2;4;3;3;6;3;4;2;3
"110";"Austria";"Regional";"Full-time";"Permanent";3;4;1;3;4;2;NA;3;3;3;3
"111";"Denmark";"National";"Full-time";"Permanent";4;4;3;4;3;3;3;3;3;2;2
"112";"Switzerland";"Local";"Full-time";"Permanent";4;4;1;4;2;3;20;2;2;2;2
"113";"Germany";"Local";"Full-time";"Permanent";5;5;1;2;1;2;18;3;2;2;1
"114";"Switzerland";"National";"Full-time";"Temporary";5;5;1;5;4;1;1;3;3;3;3
"115";"Germany";"Regional";"Full-time";"Permanent";4;4;1;1;1;1;40;3;2;2;2
"116";"UK";"National";"Full-time";"Permanent";3;3;2;5;4;5;12;4;4;3;3
"117";"Austria";"National";"Full-time";"Permanent";4;4;1;2;1;1;29;3;2;2;2
"118";"Austria";"National";"Part-time";"Permanent";4;3;1;3;2;1;30;3;3;2;2
"119";"Denmark";"National";"Full-time";"Permanent";4;4;2;3;2;2;9;3;3;3;3
"120";"UK";"Transnational";"Full-time";"Permanent";5;5;1;5;5;1;20;3;3;2;2
"121";"Denmark";"National";"Full-time";"Permanent";4;4;3;3;1;4;10;3;3;3;3
"122";"UK";"Transnational";"Full-time";"Permanent";4;2;1;4;1;2;10;2;3;2;1
"123";"Denmark";"Regional";"Full-time";"Permanent";4;4;2;1;1;5;27;4;3;3;2
"124";"Germany";"Local";"Full-time";"Permanent";5;5;1;5;2;4;35;4;3;3;3
"125";"UK";"National";"Freelancer";NA;5;5;1;4;2;2;29;3;2;1;2
"126";"Austria";"National";"Part-time";"Permanent";4;5;1;3;3;3;42;3;3;3;2
"127";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;5;1;2;7;3;3;3;3
"128";"Switzerland";"National";"Part-time";"Permanent";4;3;2;5;3;2;2;3;4;3;3
"129";"Switzerland";"National";"Full-time";"Permanent";4;4;1;2;1;3;34;4;3;2;3
"130";"Austria";"Regional";"Full-time";"Permanent";5;4;3;4;4;1;19;3;2;3;2
"131";"UK";"Transnational";"Part-time";"Permanent";5;5;1;1;1;1;50;3;4;4;3
"132";"Switzerland";"Transnational";"Full-time";"Permanent";4;5;1;3;3;1;32;2;2;2;2
"133";"Switzerland";"National";"Part-time";NA;3;3;1;4;2;3;14;2;3;3;3
"134";"Denmark";"National";"Full-time";"Permanent";3;4;2;2;2;4;18;3;3;3;3
"135";"Austria";"Regional";"Full-time";"Permanent";4;5;2;1;2;1;29;3;3;2;3
"136";"Switzerland";"National";"Full-time";"Permanent";3;5;1;3;1;1;5;5;5;2;2
"137";"Denmark";"National";"Full-time";"Permanent";5;5;1;1;1;1;17;1;1;1;1
"138";"UK";"Transnational";"Full-time";"Permanent";5;5;1;1;1;1;15;3;3;2;3
"139";"Switzerland";"Local";"Full-time";"Permanent";4;5;1;4;1;2;5;4;4;3;3
"140";"Denmark";"National";"Full-time";"Permanent";3;4;2;5;4;4;10;1;1;1;1
"141";"Austria";"Regional";"Part-time";"Permanent";4;4;1;3;4;4;20;3;4;3;3
"142";"Austria";"Regional";"Full-time";"Permanent";4;4;5;2;4;2;13;5;4;3;3
"143";"Denmark";"National";"Full-time";NA;4;5;1;1;5;3;13;4;4;2;3
"144";"Denmark";"Local";"Part-time";"Permanent";4;4;1;4;4;3;4;2;2;2;2
"145";"Switzerland";"National";"Full-time";"Permanent";4;3;1;3;3;3;1;4;4;4;4
"146";"Austria";"National";"Full-time";"Permanent";3;4;1;3;2;2;23;4;4;3;3
"147";"Denmark";"Regional";"Full-time";"Permanent";5;4;2;4;3;3;21;3;3;2;3
"148";"Denmark";"Regional";"Full-time";"Permanent";4;5;1;4;4;2;19;3;1;2;2
"149";"Germany";"National";"Full-time";"Permanent";5;5;1;5;3;3;40;3;3;2;2
"150";"UK";"Transnational";"Full-time";"Permanent";5;5;1;1;1;1;20;3;2;2;2
"151";"Denmark";"National";"Full-time";"Permanent";3;3;2;2;3;5;29;3;3;3;3
"152";"Denmark";"National";"Full-time";NA;3;3;2;5;2;5;30;4;3;2;3
"153";"UK";"National";"Full-time";"Permanent";2;4;2;2;1;4;32;3;3;3;3
"154";"Switzerland";"National";"Full-time";"Temporary";4;4;1;5;2;1;1;4;4;4;3
"155";"Denmark";"National";"Full-time";"Permanent";3;4;2;2;1;4;16;3;3;3;3
"156";"UK";"National";"Full-time";"Permanent";3;4;1;5;4;3;3;3;3;3;3
"157";"Switzerland";"National";"Full-time";"Permanent";3;4;3;4;2;3;15;2;3;2;2
"158";"Austria";"National";"Full-time";"Permanent";4;4;1;3;2;2;12;2;2;2;2
"159";"Denmark";"Regional";"Full-time";"Permanent";4;4;1;2;4;2;23;3;2;1;2
"160";"Austria";"Regional";"Full-time";"Permanent";5;5;2;4;2;4;30;4;3;3;3
"161";"Germany";"Regional";"Full-time";"Permanent";5;5;1;4;2;1;33;4;4;2;3
"162";"Switzerland";"National";"Freelancer";NA;4;4;2;4;2;3;15;4;4;3;3
"163";"Denmark";"Local";"Full-time";"Permanent";3;3;2;2;2;4;16;1;1;1;1
"164";"Denmark";"National";"Freelancer";NA;4;4;1;2;4;4;8;2;1;1;1
"165";"Switzerland";"National";"Full-time";"Permanent";4;4;1;4;2;1;10;3;4;2;2
"166";"Denmark";"National";"Freelancer";NA;1;1;5;5;4;5;31;2;1;2;2
"167";"Denmark";"National";"Full-time";"Temporary";3;4;5;5;3;5;1;3;2;3;2
"168";"Denmark";"National";"Freelancer";NA;4;4;2;1;1;2;15;4;3;3;3
"169";"Switzerland";"Regional";"Full-time";"Permanent";5;5;1;1;2;3;4;3;3;3;2
"170";"Austria";"National";"Full-time";"Permanent";4;4;2;4;3;3;23;3;2;2;2
"171";"Austria";"Regional";"Part-time";"Permanent";4;4;2;4;3;2;27;4;4;3;3
"172";"UK";"Regional";"Full-time";"Permanent";3;3;2;4;2;3;28;3;3;3;3
"173";"Denmark";"National";"Full-time";NA;4;5;1;4;2;3;5;4;4;4;4
"174";"Austria";"National";"Freelancer";NA;4;5;1;4;3;2;19;4;2;2;3
"175";"Germany";"National";"Full-time";"Permanent";1;1;1;3;1;1;10;3;3;3;3
"176";"Denmark";"National";"Freelancer";NA;2;2;2;2;3;2;20;2;2;2;2
"177";"UK";"Transnational";"Full-time";"Permanent";4;4;2;5;4;3;7;2;2;2;2
"178";"Austria";"National";"Freelancer";NA;3;3;1;4;3;3;8;1;1;1;1
"179";"Denmark";"Regional";"Full-time";"Permanent";3;3;1;2;1;4;25;4;2;2;2
"180";"Switzerland";"Local";"Full-time";"Permanent";4;5;2;4;2;3;10;3;3;4;3
"181";"Denmark";"National";"Full-time";"Permanent";4;4;2;4;2;5;3;4;3;3;3
"182";"Austria";"Regional";"Full-time";"Permanent";4;4;1;3;2;2;1;2;2;2;2
"183";"Austria";"National";"Full-time";"Permanent";4;4;1;3;1;1;15;2;2;2;2
"184";"Denmark";"National";"Full-time";"Permanent";5;5;1;3;2;2;33;4;2;3;3
"185";"Austria";"National";"Part-time";"Permanent";4;4;1;2;2;1;23;3;3;3;3
"186";"Austria";"National";"Full-time";"Permanent";4;4;1;4;3;1;13;4;2;2;3
"187";"UK";"Local";"Full-time";"Permanent";4;4;1;1;1;1;35;3;3;3;3
"188";"Denmark";"Local";"Full-time";"Permanent";4;4;2;4;4;2;4;3;4;3;3
"189";"UK";"National";"Full-time";"Permanent";5;5;1;4;3;2;15;2;2;2;2
"190";"Germany";"Regional";"Full-time";"Temporary";5;5;2;3;1;2;30;3;3;2;1
"191";"Denmark";"National";"Full-time";"Permanent";2;4;1;2;2;2;9;3;1;1;1
"192";"Germany";"Regional";"Full-time";"Permanent";4;5;1;2;2;1;32;2;1;2;2
"193";"Austria";"Regional";"Full-time";"Permanent";5;5;2;4;4;4;28;3;3;2;2
"194";"Austria";"National";"Full-time";"Permanent";5;5;1;2;2;1;32;3;3;3;3
"195";"Austria";"National";"Full-time";"Permanent";4;5;1;4;3;3;12;2;2;2;2
"196";"Switzerland";"National";"Full-time";"Permanent";5;5;1;3;2;2;10;3;3;3;3
"197";"Denmark";"Regional";"Full-time";"Permanent";3;2;2;4;2;4;16;3;3;4;4
"198";"Denmark";"National";"Full-time";"Permanent";4;3;1;1;1;1;10;4;3;2;2
"199";"UK";"National";"Freelancer";NA;4;4;1;4;4;3;20;3;1;2;3
"200";"Germany";"Regional";"Full-time";"Permanent";4;5;2;3;3;3;30;3;3;3;3
"201";"Germany";"National";"Full-time";"Permanent";4;5;1;4;3;1;16;3;3;3;3
"202";"Germany";"Regional";"Full-time";"Permanent";4;4;1;4;3;2;20;4;4;3;3
"203";"Austria";"Transnational";"Full-time";"Permanent";3;5;2;4;3;2;16;4;3;3;3
"204";"Austria";"National";"Part-time";"Permanent";4;5;1;1;2;1;18;3;2;1;1
"205";"Denmark";"National";"Full-time";NA;4;4;2;4;4;5;28;3;2;2;2
"206";"UK";"National";"Full-time";"Permanent";3;3;1;3;4;2;30;3;3;3;3
"207";"Switzerland";"Regional";"Part-time";"Permanent";4;4;2;5;2;4;7;3;4;3;3
"208";"Denmark";"National";"Freelancer";NA;4;4;3;4;3;3;15;2;2;2;2
"209";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;3;2;5;8;3;3;3;2
"210";"Germany";"Local";"Full-time";"Permanent";5;5;1;4;2;2;30;3;3;1;1
"211";"Switzerland";"National";"Full-time";"Permanent";4;5;3;4;4;4;17;3;3;3;3
"212";"Denmark";"National";"Full-time";NA;4;4;3;3;2;4;19;2;2;2;2
"213";"Denmark";"National";"Full-time";"Permanent";2;3;5;5;1;5;18;3;3;1;3
"214";"Denmark";"National";"Full-time";"Permanent";4;4;1;5;4;4;7;2;2;2;2
"215";"Switzerland";"National";"Full-time";"Permanent";4;4;2;3;4;3;13;2;3;1;1
"216";"UK";"Regional";"Full-time";"Permanent";4;3;2;5;3;5;6;3;2;3;3
"217";"UK";"Regional";"Part-time";"Permanent";4;4;1;4;4;4;20;1;1;1;1
"218";"Denmark";"National";"Full-time";"Temporary";2;3;3;4;2;4;7;4;3;3;3
"219";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;4;2;2;18;3;3;3;3
"220";"UK";"Transnational";"Full-time";"Permanent";3;4;1;2;4;2;17;3;3;3;3
"221";"Denmark";"National";"Full-time";"Permanent";4;5;2;2;1;5;4;3;2;1;3
"222";"Austria";"National";"Full-time";"Permanent";4;4;1;4;4;4;20;3;2;2;2
"223";"UK";"Transnational";"Full-time";"Permanent";4;5;2;5;4;2;25;2;2;1;1
"224";"Switzerland";"Regional";"Full-time";"Permanent";4;4;2;4;2;2;13;4;4;3;3
"225";"UK";"National";"Freelancer";NA;4;2;1;2;4;3;10;3;3;3;3
"226";"UK";"National";"Full-time";"Permanent";4;4;1;2;2;3;13;2;3;2;3
"227";"Switzerland";"Regional";"Full-time";"Permanent";4;4;2;2;2;2;35;3;3;1;2
"228";"Germany";"National";"Full-time";"Permanent";4;4;2;4;2;2;25;3;1;2;3
"229";"UK";"National";"Freelancer";NA;4;3;2;2;2;3;12;1;1;1;1
"230";"Austria";"National";"Full-time";"Permanent";4;4;2;3;2;2;8;3;3;2;2
"231";"Austria";"Regional";"Full-time";"Permanent";4;5;2;4;2;2;13;2;2;2;2
"232";"Switzerland";"National";"Full-time";"Permanent";4;3;1;4;2;2;8;3;3;2;2
"233";"Austria";"National";"Freelancer";NA;3;4;1;2;2;3;1;3;2;2;2
"234";"Switzerland";"Regional";"Full-time";"Permanent";4;4;2;3;4;4;2;3;4;3;3
"235";"Switzerland";"National";"Part-time";"Permanent";3;3;1;3;1;1;20;2;3;2;2
"236";"UK";"Transnational";"Full-time";"Permanent";4;5;2;5;5;5;17;3;2;2;2
"237";"Denmark";"National";"Freelancer";NA;5;4;2;4;2;4;5;2;2;2;2
"238";"Germany";"Regional";"Full-time";"Permanent";4;4;1;2;1;4;24;4;3;3;3
"239";"Denmark";"Regional";"Full-time";"Permanent";4;4;2;3;2;2;30;3;3;2;3
"240";"Austria";"National";"Full-time";"Permanent";4;4;1;2;1;2;2;3;1;2;1
"241";"Germany";"Regional";"Full-time";"Permanent";5;5;1;1;1;1;17;4;3;3;3
"242";"Denmark";"National";"Full-time";"Permanent";3;4;2;2;1;4;5;3;3;2;2
"243";"Switzerland";"National";"Part-time";"Permanent";4;4;3;3;3;3;15;2;2;2;2
"244";"Denmark";"National";"Full-time";"Permanent";4;3;1;4;2;2;19;4;3;3;3
"245";"Denmark";"National";"Freelancer";NA;4;4;2;4;3;4;6;3;2;2;2
"246";"Denmark";"National";"Freelancer";NA;4;4;1;5;4;1;40;3;3;1;1
"247";"Denmark";"National";"Full-time";"Permanent";4;4;4;2;1;4;15;3;2;2;2
"248";"UK";"National";"Full-time";"Permanent";3;4;4;4;4;5;9;4;4;4;4
"249";"Switzerland";"Local";"Full-time";"Permanent";4;4;1;2;2;2;14;2;2;2;2
"250";"Denmark";"National";"Full-time";"Temporary";5;4;2;2;1;2;3;3;2;2;2
"251";"Denmark";"National";"Full-time";"Permanent";3;4;1;2;4;4;16;3;2;2;3
"252";"Austria";"National";"Part-time";NA;4;5;1;1;1;1;14;4;3;2;2
"253";"Switzerland";"Regional";"Part-time";"Permanent";4;4;1;5;2;4;10;4;4;3;4
"254";"Germany";"National";"Freelancer";NA;1;3;1;4;4;2;17;4;4;2;2
"255";"Austria";"National";"Part-time";"Permanent";4;4;1;4;2;1;13;4;3;3;3
"256";"Austria";"National";"Full-time";"Permanent";3;4;2;4;2;3;17;3;2;1;1
"257";"UK";"Regional";"Full-time";"Permanent";4;4;1;2;2;4;20;3;2;2;2
"258";"Germany";"Regional";"Full-time";"Permanent";5;5;3;1;1;3;27;4;4;3;3
"259";"Denmark";"Regional";"Full-time";"Permanent";4;4;3;3;2;4;42;3;3;3;3
"260";"Switzerland";"Local";"Full-time";"Permanent";4;4;2;4;3;3;24;3;3;3;2
"261";"Austria";"Regional";"Full-time";"Permanent";3;4;1;5;3;2;16;3;3;2;2
"262";"Austria";"National";"Full-time";"Permanent";3;3;2;4;2;1;10;4;3;3;2
"263";"UK";"Transnational";"Full-time";"Permanent";5;4;1;4;2;3;10;3;2;2;2
"264";"UK";"Transnational";"Full-time";"Permanent";5;4;2;1;2;4;22;4;4;3;3
"265";"UK";"Regional";"Full-time";"Permanent";4;5;1;5;2;1;14;4;4;4;3
"266";"Switzerland";"National";"Full-time";"Permanent";3;4;1;2;2;1;25;2;2;2;2
"267";"Denmark";"Regional";"Full-time";"Permanent";3;3;1;4;2;4;23;3;3;3;3
"268";"Germany";"National";"Full-time";"Permanent";4;5;1;1;1;1;33;4;3;3;3
"269";"Austria";"Regional";"Full-time";"Permanent";5;4;2;4;3;4;24;3;3;3;3
"270";"UK";"National";"Full-time";"Permanent";4;4;2;4;3;4;18;3;3;2;3
"271";"Germany";"National";"Part-time";"Permanent";3;4;1;4;3;3;25;3;3;2;2
"272";"UK";"Transnational";"Full-time";"Permanent";4;4;1;3;4;4;33;3;3;2;2
"273";"Austria";"Regional";"Full-time";"Permanent";3;3;1;4;3;2;17;3;3;2;3
"274";"UK";"National";"Full-time";"Permanent";4;3;3;5;2;4;6;3;3;3;3
"275";"Denmark";"National";"Full-time";"Permanent";4;3;2;4;1;5;15;2;2;1;1
"276";"Denmark";"National";"Full-time";"Permanent";5;5;1;2;2;2;26;3;4;4;3
"277";"Denmark";"National";"Full-time";"Permanent";4;5;3;3;3;3;NA;3;3;3;3
"278";"Germany";"Regional";"Full-time";"Temporary";4;4;2;4;3;3;1;3;3;3;2
"279";"Denmark";"National";"Freelancer";NA;4;5;4;2;2;4;28;3;2;2;2
"280";"Denmark";"National";"Full-time";"Permanent";4;4;1;4;3;3;20;4;3;2;2
"281";"Austria";"National";"Full-time";"Permanent";4;4;1;3;2;1;16;3;3;2;2
"282";"Austria";"Regional";"Full-time";"Permanent";4;4;1;5;3;2;20;3;3;3;3
"283";"Switzerland";"Regional";"Full-time";"Permanent";4;5;3;4;3;3;21;4;4;2;3
"284";"Germany";"National";"Full-time";"Permanent";5;5;1;4;3;1;18;5;5;4;4
"285";"Denmark";"National";"Full-time";"Temporary";4;4;5;3;1;5;4;2;2;1;1
"286";"Denmark";"National";"Full-time";"Permanent";3;3;2;1;3;1;41;2;2;2;2
"287";"Denmark";"National";"Freelancer";NA;3;4;3;2;2;4;43;3;3;2;2
"288";"Denmark";"National";"Full-time";"Permanent";2;2;4;4;2;5;5;2;2;1;2
"289";"Denmark";"National";"Full-time";"Permanent";1;2;1;3;2;4;35;1;1;1;3
"290";"Germany";"Regional";"Full-time";"Permanent";4;4;1;4;2;1;27;3;3;2;2
"291";"Austria";"National";"Full-time";"Permanent";3;4;1;3;2;1;17;4;4;3;3
"292";"UK";"National";"Full-time";"Permanent";3;4;4;4;4;5;6;2;1;3;3
"293";"Denmark";"National";"Full-time";"Permanent";4;4;2;4;2;4;6;3;3;3;3
"294";"Switzerland";"National";"Part-time";"Permanent";4;5;2;3;1;3;22;4;4;3;3
"295";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;2;1;1;40;2;2;1;2
"296";"Denmark";"Local";"Full-time";"Permanent";4;4;2;2;2;3;10;3;2;2;3
"297";"Switzerland";"National";"Part-time";"Permanent";3;3;1;5;2;3;4;3;3;3;3
"298";"UK";"Transnational";"Freelancer";NA;4;4;1;1;1;4;25;3;3;3;3
"299";"UK";"National";"Freelancer";NA;2;3;1;2;2;1;27;2;1;1;1
